time,volilna_enota,volilni_okraj,volilnih_upravicencev,oddanih_glasovnic
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,12983,734
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,22296,691
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,13725,642
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4007 - LJUBLJANA MOSTE-POLJE 3,18419,1005
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4008 - LJUBLJANA BEŽIGRAD 1,22346,1831
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,18904,1720
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,23928,1170
2026-03-24 08:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4011 - DOMŽALE 2,22023,1558
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5001 - ŠENTJUR,16511,963
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5002 - CELJE 1,28085,1020
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5003 - CELJE 2,19633,1518
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5004 - ŽALEC 1,17520,830
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5005 - ŽALEC 2,18257,663
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5006 - MOZIRJE,12939,571
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5007 - VELENJE 1,14974,986
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5008 - VELENJE 2,16395,706
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,17249,1084
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,18968,1219
2026-03-24 08:05:10,VE 5000 - CELJE,VO 5011 - RADLJE,19154,489
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6001 - ČRNOMELJ,20624,570
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6002 - NOVO MESTO 1,23716,363
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,24303,971
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,16515,743
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,18906,855
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,21627,810
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,16144,655
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,13836,731
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6009 - LITIJA,16637,995
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6010 - HRASTNIK-TRBOVLJE,19431,1410
2026-03-24 08:05:10,VE 6000 - NOVO MESTO,VO 6011 - ZAGORJE,13015,1136
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7001 - ŠMARJE PRI JELŠAH,26039,828
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,24049,988
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,18109,821
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7004 - RUŠE,11825,665
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,22522,556
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,20064,582
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7007 - MARIBOR 3,16314,444
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,11626,1201
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,15473,566
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,14630,676
2026-03-24 08:05:10,VE 7000 - MARIBOR,VO 7011 - MARIBOR 7,12037,613
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8001 - LENDAVA,17994,497
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8002 - ORMOŽ,13020,381
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8003 - LJUTOMER,13874,344
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,22299,275
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,22781,1177
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8006 - GORNJA RADGONA,16360,586
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8007 - LENART,15791,627
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8008 - PESNICA,16955,635
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8009 - PTUJ 1,20303,364
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8010 - PTUJ 2,15443,682
2026-03-24 08:05:10,VE 8000 - PTUJ,VO 8011 - PTUJ 3,18434,253
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1001 - JESENICE,23116,1232
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,12656,513
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,15050,1225
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1004 - KRANJ 1,18667,1623
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1005 - KRANJ 2,19335,1504
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1006 - KRANJ 3,23826,929
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1007 - TRŽIČ,11603,1117
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,17562,1145
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,15172,162
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1010 - KAMNIK,26972,1971
2026-03-24 08:15:11,VE 1000 - KRANJ,VO 1011 - IDRIJA,12589,631
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2001 - TOLMIN,14454,642
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2002 - PIRAN,13267,1181
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2003 - IZOLA,11589,1034
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2004 - KOPER 1,16701,1471
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2005 - KOPER 2,24137,966
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,19175,974
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2007 - ILIRSKA BISTRICA,10526,578
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2008 - POSTOJNA,16659,1257
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,23338,807
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,21216,1806
2026-03-24 08:15:11,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,19328,982
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,23647,949
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,19460,1255
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3003 - LJUBLJANA VIČ-RUDNIK 1,25456,668
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,15965,816
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,15443,854
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3006 - LJUBLJANA VIČ-RUDNIK 4,20867,781
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3007 - LJUBLJANA CENTER,17591,1451
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3008 - LJUBLJANA ŠIŠKA 1,12616,817
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3009 - LJUBLJANA ŠIŠKA 2,16948,1082
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3010 - LJUBLJANA ŠIŠKA 3,15689,762
2026-03-24 08:15:11,VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,22161,647
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,13087,793
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,13488,558
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,15466,1014
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,12983,734
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,22296,691
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,13725,642
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4007 - LJUBLJANA MOSTE-POLJE 3,18419,1005
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4008 - LJUBLJANA BEŽIGRAD 1,22346,1831
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,18904,1720
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,23928,1170
2026-03-24 08:15:11,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4011 - DOMŽALE 2,22023,1558
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5001 - ŠENTJUR,16511,963
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5002 - CELJE 1,28085,1020
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5003 - CELJE 2,19633,1518
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5004 - ŽALEC 1,17520,830
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5005 - ŽALEC 2,18257,663
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5006 - MOZIRJE,12939,571
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5007 - VELENJE 1,14974,986
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5008 - VELENJE 2,16395,706
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,17249,1084
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,18968,1219
2026-03-24 08:15:11,VE 5000 - CELJE,VO 5011 - RADLJE,19154,489
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6001 - ČRNOMELJ,20624,570
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6002 - NOVO MESTO 1,23716,363
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,24303,971
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,16515,743
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,18906,855
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,21627,810
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,16144,655
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,13836,731
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6009 - LITIJA,16637,995
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6010 - HRASTNIK-TRBOVLJE,19431,1410
2026-03-24 08:15:11,VE 6000 - NOVO MESTO,VO 6011 - ZAGORJE,13015,1136
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7001 - ŠMARJE PRI JELŠAH,26039,828
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,24049,988
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,18109,821
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7004 - RUŠE,11825,665
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,22522,556
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,20064,582
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7007 - MARIBOR 3,16314,444
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,11626,1201
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,15473,566
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,14630,676
2026-03-24 08:15:11,VE 7000 - MARIBOR,VO 7011 - MARIBOR 7,12037,613
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8001 - LENDAVA,17994,497
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8002 - ORMOŽ,13020,381
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8003 - LJUTOMER,13874,344
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,22299,275
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,22781,1177
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8006 - GORNJA RADGONA,16360,586
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8007 - LENART,15791,627
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8008 - PESNICA,16955,635
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8009 - PTUJ 1,20303,364
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8010 - PTUJ 2,15443,682
2026-03-24 08:15:11,VE 8000 - PTUJ,VO 8011 - PTUJ 3,18434,253
